molecule_chembl_id,canonical_smiles,bioactivity_class,MW,LogP,NumHDonors,NumHAcceptors,pIC50
CHEMBL410316,COc1ccc2c3c([nH]c2c1)[C@H](C=C(C)C)N1C(=O)[C@@H]2CCCN2C(=O)[C@@H]1C3,active,379.4600000000002,2.9417000000000018,1.0,3.0,6.345823458122039
CHEMBL410316,COc1ccc2c3c([nH]c2c1)[C@H](C=C(C)C)N1C(=O)[C@@H]2CCCN2C(=O)[C@@H]1C3,active,379.4600000000002,2.9417000000000018,1.0,3.0,6.213248577854439
CHEMBL4072482,c1ccc(Nc2nc(-c3ccccc3)nc3ncccc23)cc1,active,298.34900000000005,4.435400000000002,1.0,4.0,6.826813731587726
CHEMBL4094267,O=[N+]([O-])c1cccc(Nc2nc(-c3ccccc3)nc3ncccc23)c1,active,343.34600000000006,4.343600000000002,1.0,6.0,6.284832642151542
CHEMBL4075334,O=[N+]([O-])c1cc(Nc2nc(-c3ccccc3)nc3ncccc23)ccc1O,active,359.3450000000001,4.049200000000002,2.0,7.0,6.277366077466188
CHEMBL4074563,O=[N+]([O-])c1ccc(Nc2nc(-c3ccccc3)nc3ncccc23)cc1,active,343.34600000000006,4.343600000000002,1.0,6.0,4.709965388637482
CHEMBL4069654,N#Cc1cccc(Nc2nc(-c3ccccc3)nc3ncccc23)c1,active,323.35900000000004,4.307080000000002,1.0,5.0,6.3979400086720375
CHEMBL4066611,N#Cc1ccc(Nc2nc(-c3ccccc3)nc3ncccc23)cc1,active,323.35900000000004,4.307080000000002,1.0,5.0,5.91721462968355
CHEMBL4070627,COc1cccc(Nc2nc(-c3ccccc3)nc3ncccc23)c1,active,328.37500000000006,4.444000000000002,1.0,5.0,6.823908740944319
CHEMBL4077346,COc1ccc(Nc2nc(-c3ccccc3)nc3ncccc23)cc1,active,328.37500000000006,4.444000000000002,1.0,5.0,6.623423042943488
CHEMBL4081623,COc1ccc(Nc2nc(-c3ccccc3)nc3ncccc23)cc1OC,active,358.4010000000001,4.452600000000002,1.0,6.0,6.464705879957229
CHEMBL4062196,CSc1cccc(Nc2nc(-c3ccccc3)nc3ncccc23)c1,active,344.44300000000004,5.157300000000004,1.0,5.0,6.686132779630847
CHEMBL4092472,CC(=O)Nc1cccc(Nc2nc(-c3ccccc3)nc3ncccc23)c1,active,355.40100000000007,4.393800000000002,2.0,5.0,5.278189384787454
CHEMBL4077318,Fc1cccc(Nc2nc(-c3ccccc3)nc3ncccc23)c1,active,316.33900000000006,4.574500000000003,1.0,4.0,6.785156151952302
CHEMBL4060543,Clc1cccc(Nc2nc(-c3ccccc3)nc3ncccc23)c1,active,332.79400000000004,5.0888000000000035,1.0,4.0,6.342944147142896
CHEMBL4075963,COc1cccc(-c2nc(Nc3cccc([N+](=O)[O-])c3)c3cccnc3n2)c1,active,373.3720000000001,4.3522000000000025,1.0,7.0,6.126679398184601
CHEMBL4083745,COc1cccc(-c2nc(Nc3cccc(O)c3)c3cccnc3n2)c1,inactive,344.3740000000001,4.149600000000002,2.0,6.0,6.016373712875465
CHEMBL4101737,COc1cccc(-c2nc(Nc3ccc(O)cc3)c3cccnc3n2)c1,inactive,344.3740000000001,4.149600000000002,2.0,6.0,5.886056647693163
CHEMBL4094008,COc1cccc(-c2nc(Nc3cccc(SC)c3)c3cccnc3n2)c1,inactive,374.4690000000001,5.165900000000004,1.0,6.0,6.040958607678906
CHEMBL4063711,COc1cccc(-c2nc(Nc3ccc(F)c(F)c3)c3cccnc3n2)c1,active,364.3550000000001,4.722200000000003,1.0,5.0,6.787812395596042
CHEMBL4094904,COc1cccc(-c2nc(Nc3cccc(C(F)(F)F)c3)c3cccnc3n2)c1,active,396.37200000000007,5.462800000000003,1.0,5.0,6.268411234813262
CHEMBL4067469,COc1cccc(-c2nc(Nc3ccc(C(F)(F)F)cc3)c3cccnc3n2)c1,active,396.37200000000007,5.462800000000003,1.0,5.0,6.20690839982342
CHEMBL4063699,COc1cccc(-c2nc(Nc3cccc(Cl)c3)c3cccnc3n2)c1,active,362.8200000000001,5.097400000000003,1.0,5.0,6.2020403562628035
CHEMBL4091514,COc1cccc(-c2nc(Nc3cccc(Br)c3)c3cccnc3n2)c1,active,407.2710000000001,5.206500000000003,1.0,5.0,5.815308569182402
CHEMBL4082782,Fc1cccc(Nc2nc(-c3cccnc3)nc3ncccc23)c1,active,317.32700000000006,3.969500000000002,1.0,5.0,5.910094888560602
CHEMBL4060914,Oc1cccc(Nc2nc(-c3cccnc3)nc3ncccc23)c1,active,315.33600000000007,3.5360000000000014,2.0,6.0,4.772113295386326
CHEMBL1194993,c1ccc(Nc2nc(-c3ccccc3)nc3ccccc23)cc1,active,297.36100000000005,5.040400000000003,1.0,3.0,6.054531414868181
CHEMBL488910,COc1ccc2c3c([nH]c2c1)[C@H](CC(C)C)N1C(=O)[C@H](CCC(=O)OC(C)(C)C)NC(=O)[C@@H]1C3,active,469.58200000000033,3.6373000000000024,2.0,5.0,6.6439741428068775
CHEMBL4072482,c1ccc(Nc2nc(-c3ccccc3)nc3ncccc23)cc1,active,298.34900000000005,4.435400000000002,1.0,4.0,6.6595558851598815
CHEMBL4176120,O=[N+]([O-])c1cccc(-c2nc(Nc3ccccc3)c3ccccc3n2)c1,inactive,342.35800000000006,4.9486000000000026,1.0,5.0,6.966576244513051
CHEMBL4164837,O=[N+]([O-])c1cccc(-c2nc(NC3CCCCC3)c3ccccc3n2)c1,active,348.406,4.949600000000004,1.0,5.0,5.555955204081924
